molecule_chembl_id,canonical_smiles,pchembl_value,assay_description,Receptor,assay_chembl_id,document_chembl_id
CHEMBL25573,N#Cc1ccc(NC(=O)Nc2ccccc2)c(O)c1,4.68,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL27863,N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1,4.82,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL283736,O=C(Nc1ccccc1)Nc1cccc([N+](=O)[O-])c1O,4.48,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL280711,O=C(Nc1ccccc1)Nc1ccc([N+](=O)[O-])cc1O,4.74,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL27446,N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1Cl,5.38,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL28009,N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1Br,5.58,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL24912,O=C(Nc1ccccc1)Nc1cc([N+](=O)[O-])ccc1O,4.33,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL26830,N#Cc1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,4.96,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,CXCR1,CHEMBL656546,CHEMBL1149089
CHEMBL184637,O=C(Nc1ccc(O)cc1O)Nc1ccccc1Br,7.66,Inhibitory concentration against interleukin-8 receptor of human neutrophils by using [125I]IL-8 (0.125 nM) as radioligand,CXCR1,CHEMBL828738,CHEMBL1137025
CHEMBL425882,CN(C)COc1ccc(-c2cc(-c3ccccc3)on2)cc1,4.97,Inhibitory concentration against interleukin-8 receptor of human neutrophils by using [125I]IL-8 (0.125 nM) as radioligand,CXCR1,CHEMBL828738,CHEMBL1137025
